"lemma","custom_pos","Frequency"
"once","conj",71
"western","adj",69
"subject","adj",1
"subject","n",2
"meddle","v",6
"outside","adj",11
"outside","adv",52
"outside","n",1
"outside","prep",22
"outside","v",1
"last","adj",740
"last","adv",10
"last","n",6
"last","v",49
"battle","n",163
"battle","v",5
"fornost","n",4
"fornost","v",1
"witch","n",1
"witch","v",1
"lord","adj",3
"lord","n",177
"lord","prep",6
"lord","v",30
"send","n",1
"send","v",203
"bowman","n",8
"bowman","v",1
"aid","n",39
"aid","v",14
"maintain","v",8
"tale","adj",1
"tale","n",171
"war","n",153
"war","v",14
"end","adj",11
"end","n",381
"end","v",84
"choose","n",5
"choose","v",107
"chiefs","n",2
"thain","n",9
"hold","n",44
"hold","v",281
"authority","n",14
"gone","adj",67
"gone","n",1
"gone","v",12
"wars","n",9
"prosper","v",2
"multiply","adv",1
"multiply","v",6
"disaster","n",8
"famine","n",1
"thousand","n",19
"perish","n",4
"perish","v",29
"dearth","n",1
"accustom","adj",1
"accustom","v",7
"plenty","n",13
"rich","adj",22
"rich","n",1
"rich","pron",1
"rich","v",1
"kindly","adj",11
"kindly","adv",13
"kindly","n",1
"desert","adj",1
"desert","n",11
"desert","v",13
"enter","adv",1
"enter","n",5
"enter","v",84
"farms","n",4
"cornland","n",1
"vineyard","n",1
"woods","n",32
"league","adj",1
"league","n",9
"league","v",3
"stretch","n",9
"stretch","v",56
"northern","adj",55
"moor","n",7
"moor","v",2
"marsh","n",22
"marsh","v",1
"south","adj",5
"south","adv",109
"south","n",61
"south","prep",1
"district","n",5
"business","n",64
"pleasant","adj",28
"comer","n",11
"ply","v",3
"living","adj",1
"living","n",52
"living","v",2
"heed","n",13
"heed","v",19
"where","adv",654
"where","n",1
"where","v",9
"dark","adj",555
"dark","n",114
"dark","v",2
"think","n",17
"think","v",931
"right","adj",176
"right","adv",85
"right","interj",5
"right","n",78
"right","v",1
"sensible","adj",5
"ignore","v",4
"labour","adj",1
"labour","n",42
"labour","v",8
"possible","adj",43
"shelter","adj",1
"shelter","n",15
"shelter","v",9
"cease","n",1
"cease","v",21
"remember","v",151
"warlike","n",2
"fight","interj",1
"fight","n",20
"fight","v",84
"themselves","pron",129
"olden","adj",1
"obliged","adj",1
"open","adj",135
"open","n",2
"open","v",149
"one","n",141
"one","pron",42
"one","v",1
"within","interj",1
"within","n",2
"within","prep",88
"within","v",1
"memory","n",113
"route","v",3
"invasion","n",3
"ores","adv",2
"ores","n",42
"ores","v",1
"weather","n",45
"weather","v",3
"grow","adj",1
"grow","adv",1
"grow","n",5
"grow","v",430
"milder","adj",1
"milder","n",2
"wolf","adj",1
"wolf","n",55
"rave","v",2
"bitter","adj",27
"bitter","n",33
"white","adj",284
"white","conj",5
"white","n",42
"white","v",1
"winter","n",39
"grandfather","n",4
"weapon","n",70
"weapon","v",1
"these","pron",72
"mostly","adv",26
"trophy","n",2
"hang","adj",2
"hang","n",6
"hang","v",66
"above","adj",1
"above","adv",90
"above","prep",260
"above","v",1
"heart","n",374
"wall","n",357
"wall","v",6
"museum","n",2
"mathom","n",5
"house","n",264
"house","v",10
"anything","pron",132
"immediate","adj",3
"unwilling","adj",9
"unwilling","n",2
"throw","n",5
"throw","v",87
"dwelling","n",15
"dwelling","v",2
"crowded","adj",2
"ease","n",20
"ease","v",11
"leave","adj",13
"leave","n",157
"leave","pron",1
"leave","v",607
"curiously","adv",7
"if","conj",1932
"difficult","adj",38
"daunt","n",1
"daunt","v",10
"kill","n",2
"kill","v",72
"perhaps","adv",181
"perhaps","n",1
"unwearyingly","adv",1
"not","adv",574
"not","conj",6
"not","n",2
"not","v",2
"because","conj",88
"because","prep",21
"put","n",1
"put","v",294
"without","conj",54
"without","n",2
"without","prep",181
"without","v",1
"survive","v",6
"rough","adj",24
"rough","adv",1
"rough","conj",1
"handling","v",1
"grief","n",41
"grief","pron",1
"grief","v",4
"foe","interj",2
"foe","n",60
"foe","v",3
"way","adv",5
"way","n",793
"astonished","adj",9
"astonished","v",2
"belly","adv",2
"belly","n",10
"belly","v",1
"feed","adj",2
"feed","v",18
"slow","adj",79
"slow","adv",2
"slow","n",3
"slow","v",11
"quarrel","n",9
"quarrel","v",2
"sport","n",7
"sport","v",1
"nothing","pron",280
"liv","v",23
"doughty","adj",1
"doughty","n",2
"bay","n",24
"bay","v",11
"need","n",119
"need","v",235
"handle","n",4
"handle","v",16
"arm","adj",3
"arm","n",227
